dist;name;north_Y_;east_X_;height;layer;Type;Width;Dam_width;Slope_cleaned;Dam_Slope;SlopeMovWin_cleaned;Dam_SlopeMovWin;Sinuosity_MovWin;Dam_SinuosityMovWin;Sinuosity140;Dam_Sinuosity140;SinuosityCustom;Dam_SinuosityCustom
0;;;;;;No Dam;20;NA;1.876;NA;2.66;NA;1.001;NA;1;NA;1.042;NA
9.838797242;;;;;;No Dam;17;NA;1.876;NA;1.785;NA;1.001;NA;1;NA;1.042;NA
12.94367771;dam1;6983702.292;561757.34;174.341;soknaicedamsurv4;Ice Dam;17;17;1.876;1.876;1.669;1.669;1.001;1.001;1;1;1.042;1.42..
19.83879724;;;;;;No Dam;16;NA;1.876;NA;1.289;NA;1.001;NA;1;NA;1.042;NA
29.81420975;;;;;;No Dam;13;NA;1.694;NA;1.82;NA;1;NA;1;NA;1.042;NA
39.81420975;;;;;;No Dam;14;NA;1.694;NA;1.595;NA;1;NA;1;NA;1.042;NA
49.81420975;;;;;;No Dam;17;NA;0.562;NA;0.564;NA;1;NA;1;NA;1.042;NA
59.81420975;;;;;;No Dam;17;NA;0.562;NA;0.016;NA;1;NA;1;NA;1.042;NA
69.81420975;;;;;;No Dam;19;NA;0.943;NA;0.946;NA;1;NA;1;NA;1.042;NA
79.82624961;;;;;;No Dam;22;NA;0.943;NA;1.158;NA;1.001;NA;1;NA;1.042;NA
89.82624961;;;;;;No Dam;24;NA;0.662;NA;0.666;NA;1.001;NA;1;NA;1.042;NA
99.82624961;;;;;;No Dam;25;NA;0.662;NA;1.636;NA;1.002;NA;1;NA;1.042;NA
109.8262496;;;;;;No Dam;24;NA;2.183;NA;2.196;NA;1.003;NA;1;NA;1.042;NA
119.8262496;;;;;;No Dam;22;NA;2.183;NA;2.137;NA;1.004;NA;1;NA;1.042;NA
119.9684159;dam2;6983679.316;561861.574;173.137;soknaicedamsurv4;Ice Dam;22;22;2.122;2.122;2.137;2.137;1.004;1.004;1;1;1.042;1.42..
129.8262496;;;;;;No Dam;19;NA;2.122;NA;2.135;NA;1.005;NA;1;NA;1.042;NA
139.8611436;;;;;;No Dam;20;NA;1.867;NA;2.227;NA;1.007;NA;1.038;NA;1.042;NA
149.8611436;;;;;;No Dam;18;NA;1.867;NA;1.888;NA;1.009;NA;1.038;NA;1.042;NA
152.083789;dam3;6983678.165;561894.824;172.182;soknaicedamsurv4;Ice Dam;17;17;1.867;1.867;0.997;0.997;1.009;1.009;1.038;1.038;1.042;1.42
159.8611436;;;;;;No Dam;16;NA;2.804;NA;1.519;NA;1.011;NA;1.038;NA;1.042;NA
169.903573;;;;;;No Dam;18;NA;2.804;NA;2.821;NA;1.014;NA;1.038;NA;1.042;NA
174.8729145;dam4;6983678.34;561918.646;171.917;soknaicedamsurv4;Ice Dam;16;16;2.804;2.804;2.123;2.123;1.015;1.015;1.038;1.038;1.042;1.42
179.903573;;;;;;No Dam;16;NA;1.853;NA;2.208;NA;1.019;NA;1.038;NA;1.042;NA
188.5319525;dam5;6983679.992;561932.217;171.632;soknaicedamsurv4;Ice Dam;16;16;1.853;1.853;3.034;3.034;1.024;1.024;1.038;1.038;1.042;1.42
189.903573;;;;;;No Dam;16;NA;1.853;NA;1.855;NA;1.025;NA;1.038;NA;1.042;NA
199.9488959;;;;;;No Dam;17;NA;1.555;NA;2.467;NA;1.035;NA;1.038;NA;1.042;NA
207.3004058;dam6;6983682.209;561951.833;171.268;soknaicedamsurv4;Ice Dam;17;17;1.555;1.555;1.316;1.316;1.039;1.039;1.038;1.038;1.042;1.42
209.9488959;;;;;;No Dam;18;NA;1.555;NA;1.65;NA;1.04;NA;1.038;NA;1.042;NA
214.9276947;soknadam2;6983683.884;561959.272;170.927;soknaicedamsurv4;Ice Dam;16;16;1.555;1.555;1.36;1.36;1.043;1.043;1.038;1.038;1.042;1.42
219.9488959;;;;;;No Dam;17;NA;1.781;NA;1.356;NA;1.043;NA;1.038;NA;1.042;NA
229.6062569;dam8;6983687.16;561974.364;170.716;soknaicedamsurv4;Ice Dam;16;16;1.781;1.781;1.797;1.797;1.04;1.04;1.038;1.038;1.042;1.42
229.9834019;;;;;;No Dam;16;NA;1.781;NA;1.647;NA;1.04;NA;1.038;NA;1.042;NA
236.6717145;dam9;6983689.06;561982.186;170.704;soknaicedamsurv4;Ice Dam;18;18;1.781;1.781;2.274;2.274;1.036;1.036;1.038;1.038;1.042;1.42
240.0229858;;;;;;No Dam;18;NA;1.544;NA;1.663;NA;1.034;NA;1.038;NA;1.042;NA
250.089687;;;;;;No Dam;17;NA;1.544;NA;1.624;NA;1.04;NA;1.038;NA;1.042;NA
260.089687;;;;;;No Dam;19;NA;1.76;NA;1.804;NA;1.043;NA;1.038;NA;1.042;NA
270.1550829;;;;;;No Dam;20;NA;1.76;NA;1.765;NA;1.037;NA;1.038;NA;1.042;NA
270.6258856;dam10;6983708.837;562013.674;169.924;soknaicedamsurv4;Ice Dam;20;20;1.76;1.76;1.518;1.518;1.037;1.037;1.038;1.038;1.042;1.42
280.1550829;;;;;;No Dam;19;NA;0.111;NA;0.865;NA;1.032;NA;1.182;NA;1.315;NA
290.1117918;;;;;;No Dam;22;NA;0.111;NA;0.112;NA;1.024;NA;1.182;NA;1.315;NA
300.1117918;;;;;;No Dam;25;NA;0.112;NA;0.051;NA;1.018;NA;1.182;NA;1.315;NA
310.0480296;;;;;;No Dam;26;NA;0.112;NA;0.111;NA;1.018;NA;1.182;NA;1.315;NA
340.1633279;;;;;;No Dam;18;NA;0.377;NA;0.221;NA;1.022;NA;1.182;NA;1.315;NA
350.1068414;;;;;;No Dam;19;NA;0.377;NA;0.39;NA;1.087;NA;1.182;NA;1.315;NA
360.1011523;;;;;;Ice Dam;19;19;1.509;NA;0.871;NA;1.451;NA;1.182;NA;1.315;NA
360.1068414;;;;;;No Dam;19;NA;1.509;NA;1.471;NA;1.474;NA;1.182;NA;1.315;NA
370.1429515;GPS0001;6983771.43;562074.462;168.57;soknaicedamsurvy;No Dam;17;NA;1.837;1.837;1.685;1.685;1.509;1.509;1.182;1.182;1.315;1.315
380.0369875;;;;;;No Dam;16;NA;1.837;NA;1.685;NA;1.509;NA;1.182;NA;1.315;NA
389.9367334;;;;;;No Dam;15;NA;1.837;NA;2.272;NA;1.539;NA;1.182;NA;1.315;NA
399.7266253;;;;;;No Dam;19;NA;1.425;NA;1.575;NA;1.575;NA;1.182;NA;1.315;NA
409.6612094;;;;;;No Dam;24;NA;1.425;NA;0.989;NA;1.565;NA;1.182;NA;1.315;NA
415.2864188;;;;;;Ice Dam;22;22;5.15;NA;2.908;NA;1.51;NA;1.182;NA;1.315;NA
419.6376275;;;;;;No Dam;18;NA;5.15;NA;5.149;NA;1.464;NA;1.182;NA;1.315;NA
429.6482404;GPS0002;6983776.145;562112.91;168.066;soknaicedamsurvy;No Dam;15;NA;5.15;5.15;5.287;5.287;1.441;1.441;1.182;1.182;1.315;1.315
439.6482404;;;;;;No Dam;14;NA;1.643;NA;4.713;NA;1.422;NA;1.068;NA;1.315;NA
449.7129216;;;;;;No Dam;16;NA;1.643;NA;1.649;NA;1.383;NA;1.068;NA;1.315;NA
